phase,module,input_len,sms,sm_pct,latency_s
prefill,attention,1024,8,6.061,0.135527
prefill,moe,1024,8,6.061,0.350873
prefill,attention,1024,16,12.121,0.0710566
prefill,moe,1024,16,12.121,0.257434
prefill,attention,1024,24,18.182,0.0505317
prefill,moe,1024,24,18.182,0.242459
prefill,attention,1024,32,24.242,0.0384348
prefill,moe,1024,32,24.242,0.236078
prefill,attention,1024,48,36.364,0.0285005
prefill,moe,1024,48,36.364,0.229746
prefill,attention,1024,64,48.485,0.0223643
prefill,moe,1024,64,48.485,0.226955
prefill,attention,1024,96,72.727,0.0192012
prefill,moe,1024,96,72.727,0.227451
prefill,attention,1024,132,100.0,0.0146748
prefill,moe,1024,132,100.0,0.226769
prefill,attention,4096,8,6.061,0.617479
prefill,moe,4096,8,6.061,1.00885
prefill,attention,4096,16,12.121,0.315525
prefill,moe,4096,16,12.121,0.776093
prefill,attention,4096,24,18.182,0.216637
prefill,moe,4096,24,18.182,0.73214
prefill,attention,4096,32,24.242,0.165866
prefill,moe,4096,32,24.242,0.711331
prefill,attention,4096,48,36.364,0.114278
prefill,moe,4096,48,36.364,0.688351
prefill,attention,4096,64,48.485,0.0921468
prefill,moe,4096,64,48.485,0.675038
prefill,attention,4096,96,72.727,0.0683023
prefill,moe,4096,96,72.727,0.662354
prefill,attention,4096,132,100.0,0.0506203
prefill,moe,4096,132,100.0,0.659247
prefill,attention,32768,8,6.061,12.0856
prefill,moe,32768,8,6.061,7.23616
prefill,attention,32768,16,12.121,6.06893
prefill,moe,32768,16,12.121,5.71697
prefill,attention,32768,24,18.182,4.03238
prefill,moe,32768,24,18.182,5.39904
prefill,attention,32768,32,24.242,3.04436
prefill,moe,32768,32,24.242,5.23558
prefill,attention,32768,48,36.364,2.04148
prefill,moe,32768,48,36.364,5.06313
prefill,attention,32768,64,48.485,1.56606
prefill,moe,32768,64,48.485,4.96387
prefill,attention,32768,96,72.727,1.06993
prefill,moe,32768,96,72.727,4.85989
prefill,attention,32768,132,100.0,0.79338
prefill,moe,32768,132,100.0,4.83698
prefill,attention,131072,8,6.061,146.678
prefill,moe,131072,8,6.061,28.5977
prefill,attention,131072,16,12.121,73.4695
prefill,moe,131072,16,12.121,22.7266
prefill,attention,131072,24,18.182,48.6795
prefill,moe,131072,24,18.182,21.4958
prefill,attention,131072,32,24.242,36.5554
prefill,moe,131072,32,24.242,20.8403
prefill,attention,131072,48,36.364,24.3004
prefill,moe,131072,48,36.364,20.1531
prefill,attention,131072,64,48.485,18.4182
prefill,moe,131072,64,48.485,19.7549
prefill,attention,131072,96,72.727,13.6734
prefill,moe,131072,96,72.727,19.3301
prefill,attention,131072,132,100.0,11.0647
prefill,moe,131072,132,100.0,19.1834
decode,attention,1024,8,6.061,1.79092
decode,moe,1024,8,6.061,2.21583
decode,attention,1024,16,12.121,1.22304
decode,moe,1024,16,12.121,1.85749
decode,attention,1024,24,18.182,1.09599
decode,moe,1024,24,18.182,1.85395
decode,attention,1024,32,24.242,0.974066
decode,moe,1024,32,24.242,1.84484
decode,attention,1024,48,36.364,0.932158
decode,moe,1024,48,36.364,1.83449
decode,attention,1024,64,48.485,0.866275
decode,moe,1024,64,48.485,1.85281
decode,attention,1024,96,72.727,0.843417
decode,moe,1024,96,72.727,1.8389
decode,attention,1024,132,100.0,0.820521
decode,moe,1024,132,100.0,1.82691
prefill,attention,2048,8,6.061,0.278344
prefill,moe,2048,8,6.061,0.563962
decode,attention,2048,8,6.061,1.82112
decode,moe,2048,8,6.061,2.19756
prefill,attention,2048,16,12.121,0.144121
prefill,moe,2048,16,12.121,0.426781
decode,attention,2048,16,12.121,1.2735
decode,moe,2048,16,12.121,1.86019
prefill,attention,2048,24,18.182,0.100858
prefill,moe,2048,24,18.182,0.402911
decode,attention,2048,24,18.182,1.08696
decode,moe,2048,24,18.182,1.83352
prefill,attention,2048,32,24.242,0.0769692
prefill,moe,2048,32,24.242,0.392052
decode,attention,2048,32,24.242,0.991548
decode,moe,2048,32,24.242,1.84587
prefill,attention,2048,48,36.364,0.0544798
prefill,moe,2048,48,36.364,0.37962
decode,attention,2048,48,36.364,0.937629
decode,moe,2048,48,36.364,1.83062
prefill,attention,2048,64,48.485,0.043846
prefill,moe,2048,64,48.485,0.373295
decode,attention,2048,64,48.485,0.864408
decode,moe,2048,64,48.485,1.85138
prefill,attention,2048,96,72.727,0.0346476
prefill,moe,2048,96,72.727,0.367419
decode,attention,2048,96,72.727,0.836542
decode,moe,2048,96,72.727,1.83473
prefill,attention,2048,132,100.0,0.0251383
prefill,moe,2048,132,100.0,0.365721
decode,attention,2048,132,100.0,0.820659
decode,moe,2048,132,100.0,1.82492
decode,attention,4096,8,6.061,1.9826
decode,moe,4096,8,6.061,2.22299
decode,attention,4096,16,12.121,1.3416
decode,moe,4096,16,12.121,1.86838
decode,attention,4096,24,18.182,1.14125
decode,moe,4096,24,18.182,1.84288
decode,attention,4096,32,24.242,1.02563
decode,moe,4096,32,24.242,1.84636
decode,attention,4096,48,36.364,0.977317
decode,moe,4096,48,36.364,1.83906
decode,attention,4096,64,48.485,0.859499
decode,moe,4096,64,48.485,1.8376
decode,attention,4096,96,72.727,0.882691
decode,moe,4096,96,72.727,1.85912
decode,attention,4096,132,100.0,0.830862
decode,moe,4096,132,100.0,1.8315
prefill,attention,8192,8,6.061,1.48443
prefill,moe,8192,8,6.061,1.89358
decode,attention,8192,8,6.061,2.10175
decode,moe,8192,8,6.061,2.19926
prefill,attention,8192,16,12.121,0.752306
prefill,moe,8192,16,12.121,1.47745
decode,attention,8192,16,12.121,1.42029
decode,moe,8192,16,12.121,1.86388
prefill,attention,8192,24,18.182,0.506742
prefill,moe,8192,24,18.182,1.39671
decode,attention,8192,24,18.182,1.21327
decode,moe,8192,24,18.182,1.85186
prefill,attention,8192,32,24.242,0.38561
prefill,moe,8192,32,24.242,1.35737
decode,attention,8192,32,24.242,1.04289
decode,moe,8192,32,24.242,1.82984
prefill,attention,8192,48,36.364,0.261268
prefill,moe,8192,48,36.364,1.3117
decode,attention,8192,48,36.364,1.02173
decode,moe,8192,48,36.364,1.84804
prefill,attention,8192,64,48.485,0.205804
prefill,moe,8192,64,48.485,1.28548
decode,attention,8192,64,48.485,0.892259
decode,moe,8192,64,48.485,1.83404
prefill,attention,8192,96,72.727,0.146511
prefill,moe,8192,96,72.727,1.25856
decode,attention,8192,96,72.727,0.894845
decode,moe,8192,96,72.727,1.8538
prefill,attention,8192,132,100.0,0.110012
prefill,moe,8192,132,100.0,1.2538
decode,attention,8192,132,100.0,0.84405
decode,moe,8192,132,100.0,1.82852
prefill,attention,16384,8,6.061,3.99014
prefill,moe,16384,8,6.061,3.66502
decode,attention,16384,8,6.061,2.33701
decode,moe,16384,8,6.061,2.20381
prefill,attention,16384,16,12.121,2.01115
prefill,moe,16384,16,12.121,2.88509
decode,attention,16384,16,12.121,1.53669
decode,moe,16384,16,12.121,1.86686
prefill,attention,16384,24,18.182,1.34374
prefill,moe,16384,24,18.182,2.7306
decode,attention,16384,24,18.182,1.26781
decode,moe,16384,24,18.182,1.83763
prefill,attention,16384,32,24.242,1.01846
prefill,moe,16384,32,24.242,2.65219
decode,attention,16384,32,24.242,1.10212
decode,moe,16384,32,24.242,1.8343
prefill,attention,16384,48,36.364,0.686406
prefill,moe,16384,48,36.364,2.56399
decode,attention,16384,48,36.364,1.05855
decode,moe,16384,48,36.364,1.85487
prefill,attention,16384,64,48.485,0.534085
prefill,moe,16384,64,48.485,2.51263
decode,attention,16384,64,48.485,0.935203
decode,moe,16384,64,48.485,1.84283
prefill,attention,16384,96,72.727,0.370461
prefill,moe,16384,96,72.727,2.45751
decode,attention,16384,96,72.727,0.920852
decode,moe,16384,96,72.727,1.85709
prefill,attention,16384,132,100.0,0.274751
prefill,moe,16384,132,100.0,2.44824
decode,attention,16384,132,100.0,0.870643
decode,moe,16384,132,100.0,1.83301
decode,attention,32768,8,6.061,2.8322
decode,moe,32768,8,6.061,2.22144
decode,attention,32768,16,12.121,1.7622
decode,moe,32768,16,12.121,1.85683
decode,attention,32768,24,18.182,1.49199
decode,moe,32768,24,18.182,1.85992
decode,attention,32768,32,24.242,1.27012
decode,moe,32768,32,24.242,1.83561
decode,attention,32768,48,36.364,1.17763
decode,moe,32768,48,36.364,1.8367
decode,attention,32768,64,48.485,1.03587
decode,moe,32768,64,48.485,1.85777
decode,attention,32768,96,72.727,1.00842
decode,moe,32768,96,72.727,1.84155
decode,attention,32768,132,100.0,0.940759
decode,moe,32768,132,100.0,1.83544
prefill,attention,65536,8,6.061,40.5585
prefill,moe,65536,8,6.061,14.321
decode,attention,65536,8,6.061,3.73906
decode,moe,65536,8,6.061,2.22519
prefill,attention,65536,16,12.121,20.34
prefill,moe,65536,16,12.121,11.3628
decode,attention,65536,16,12.121,2.25663
decode,moe,65536,16,12.121,1.85798
prefill,attention,65536,24,18.182,13.4889
prefill,moe,65536,24,18.182,10.7813
decode,attention,65536,24,18.182,1.77351
decode,moe,65536,24,18.182,1.86167
prefill,attention,65536,32,24.242,10.1509
prefill,moe,65536,32,24.242,10.4623
decode,attention,65536,32,24.242,1.49653
decode,moe,65536,32,24.242,1.8403
prefill,attention,65536,48,36.364,6.7915
prefill,moe,65536,48,36.364,10.1244
decode,attention,65536,48,36.364,1.38555
decode,moe,65536,48,36.364,1.85847
prefill,attention,65536,64,48.485,5.15446
prefill,moe,65536,64,48.485,9.91808
decode,attention,65536,64,48.485,1.15161
decode,moe,65536,64,48.485,1.85681
prefill,attention,65536,96,72.727,3.54533
prefill,moe,65536,96,72.727,9.68798
decode,attention,65536,96,72.727,1.15068
decode,moe,65536,96,72.727,1.84675
prefill,attention,65536,132,100.0,2.70841
prefill,moe,65536,132,100.0,9.62268
decode,attention,65536,132,100.0,1.05067
decode,moe,65536,132,100.0,1.83411
decode,attention,131072,8,6.061,5.45487
decode,moe,131072,8,6.061,2.22133
decode,attention,131072,16,12.121,3.17295
decode,moe,131072,16,12.121,1.85803
decode,attention,131072,24,18.182,2.3434
decode,moe,131072,24,18.182,1.84465
decode,attention,131072,32,24.242,1.99981
decode,moe,131072,32,24.242,1.85013
decode,attention,131072,48,36.364,1.72356
decode,moe,131072,48,36.364,1.8392
decode,attention,131072,64,48.485,1.39608
decode,moe,131072,64,48.485,1.85525
decode,attention,131072,96,72.727,1.46362
decode,moe,131072,96,72.727,1.86239
decode,attention,131072,132,100.0,1.28647
decode,moe,131072,132,100.0,1.83215
