kernel,input_len,sms,sm_pct,moe_latency_s
symmetric,1024,8,6.061,0.350873
symmetric,1024,16,12.121,0.257434
symmetric,1024,24,18.182,0.242459
symmetric,1024,32,24.242,0.236078
symmetric,1024,48,36.364,0.229746
symmetric,1024,64,48.485,0.226955
symmetric,1024,96,72.727,0.227451
symmetric,1024,132,100.0,0.226769
symmetric,4096,8,6.061,1.00885
symmetric,4096,16,12.121,0.776093
symmetric,4096,24,18.182,0.73214
symmetric,4096,32,24.242,0.711331
symmetric,4096,48,36.364,0.688351
symmetric,4096,64,48.485,0.675038
symmetric,4096,96,72.727,0.662354
symmetric,4096,132,100.0,0.659247
symmetric,32768,8,6.061,7.23616
symmetric,32768,16,12.121,5.71697
symmetric,32768,24,18.182,5.39904
symmetric,32768,32,24.242,5.23558
symmetric,32768,48,36.364,5.06313
symmetric,32768,64,48.485,4.96387
symmetric,32768,96,72.727,4.85989
symmetric,32768,132,100.0,4.83698
symmetric,131072,8,6.061,28.5977
symmetric,131072,16,12.121,22.7266
symmetric,131072,24,18.182,21.4958
symmetric,131072,32,24.242,20.8403
symmetric,131072,48,36.364,20.1531
symmetric,131072,64,48.485,19.7549
symmetric,131072,96,72.727,19.3301
symmetric,131072,132,100.0,19.1834
symmetric,2048,8,6.061,0.563962
symmetric,2048,16,12.121,0.426781
symmetric,2048,24,18.182,0.402911
symmetric,2048,32,24.242,0.392052
symmetric,2048,48,36.364,0.37962
symmetric,2048,64,48.485,0.373295
symmetric,2048,96,72.727,0.367419
symmetric,2048,132,100.0,0.365721
symmetric,8192,8,6.061,1.89358
symmetric,8192,16,12.121,1.47745
symmetric,8192,24,18.182,1.39671
symmetric,8192,32,24.242,1.35737
symmetric,8192,48,36.364,1.3117
symmetric,8192,64,48.485,1.28548
symmetric,8192,96,72.727,1.25856
symmetric,8192,132,100.0,1.2538
symmetric,16384,8,6.061,3.66502
symmetric,16384,16,12.121,2.88509
symmetric,16384,24,18.182,2.7306
symmetric,16384,32,24.242,2.65219
symmetric,16384,48,36.364,2.56399
symmetric,16384,64,48.485,2.51263
symmetric,16384,96,72.727,2.45751
symmetric,16384,132,100.0,2.44824
symmetric,65536,8,6.061,14.321
symmetric,65536,16,12.121,11.3628
symmetric,65536,24,18.182,10.7813
symmetric,65536,32,24.242,10.4623
symmetric,65536,48,36.364,10.1244
symmetric,65536,64,48.485,9.91808
symmetric,65536,96,72.727,9.68798
symmetric,65536,132,100.0,9.62268
asymmetric,1024,8,6.061,0.993301
asymmetric,1024,16,12.121,0.53085
asymmetric,1024,24,18.182,0.3831
asymmetric,1024,32,24.242,0.314582
asymmetric,1024,48,36.364,0.24024
asymmetric,1024,64,48.485,0.208637
asymmetric,1024,96,72.727,0.17875
asymmetric,1024,132,100.0,0.172287
asymmetric,4096,8,6.061,2.52798
asymmetric,4096,16,12.121,1.29959
asymmetric,4096,24,18.182,0.890286
asymmetric,4096,32,24.242,0.68943
asymmetric,4096,48,36.364,0.489502
asymmetric,4096,64,48.485,0.393314
asymmetric,4096,96,72.727,0.302989
asymmetric,4096,132,100.0,0.260774
asymmetric,32768,8,6.061,22.9314
asymmetric,32768,16,12.121,11.6697
asymmetric,32768,24,18.182,7.906
asymmetric,32768,32,24.242,6.04643
asymmetric,32768,48,36.364,4.22444
asymmetric,32768,64,48.485,3.30146
asymmetric,32768,96,72.727,2.40542
asymmetric,32768,132,100.0,1.94835
asymmetric,131072,8,6.061,91.3239
asymmetric,131072,16,12.121,46.384
asymmetric,131072,24,18.182,31.4027
asymmetric,131072,32,24.242,24.0768
asymmetric,131072,48,36.364,16.8341
asymmetric,131072,64,48.485,13.188
asymmetric,131072,96,72.727,9.75776
asymmetric,131072,132,100.0,8.12697
asymmetric,2048,8,6.061,1.48751
asymmetric,2048,16,12.121,0.775357
asymmetric,2048,24,18.182,0.54159
asymmetric,2048,32,24.242,0.427701
asymmetric,2048,48,36.364,0.317985
asymmetric,2048,64,48.485,0.263824
asymmetric,2048,96,72.727,0.216881
asymmetric,2048,132,100.0,0.199872
asymmetric,8192,8,6.061,4.69126
asymmetric,8192,16,12.121,2.41727
asymmetric,8192,24,18.182,1.6464
asymmetric,8192,32,24.242,1.26256
asymmetric,8192,48,36.364,0.883773
asymmetric,8192,64,48.485,0.69293
asymmetric,8192,96,72.727,0.515194
asymmetric,8192,132,100.0,0.429725
asymmetric,16384,8,6.061,10.1409
asymmetric,16384,16,12.121,5.15905
asymmetric,16384,24,18.182,3.49392
asymmetric,16384,32,24.242,2.67724
asymmetric,16384,48,36.364,1.86779
asymmetric,16384,64,48.485,1.46138
asymmetric,16384,96,72.727,1.06543
asymmetric,16384,132,100.0,0.873491
asymmetric,65536,8,6.061,45.7448
asymmetric,65536,16,12.121,23.2506
asymmetric,65536,24,18.182,15.7429
asymmetric,65536,32,24.242,12.0636
asymmetric,65536,48,36.364,8.41716
asymmetric,65536,64,48.485,6.5942
asymmetric,65536,96,72.727,4.96078
asymmetric,65536,132,100.0,4.16534
