module,batch,sms,sm_pct,latency_s
attention,8,8,6.061,1.88645
moe,8,8,6.061,6.59819
attention,8,16,12.121,1.36501
moe,8,16,12.121,5.24068
attention,8,24,18.182,1.16813
moe,8,24,18.182,5.18821
attention,8,32,24.242,1.06465
moe,8,32,24.242,5.18247
attention,8,48,36.364,1.04347
moe,8,48,36.364,5.20073
attention,8,64,48.485,0.962779
moe,8,64,48.485,5.1845
attention,8,96,72.727,0.963247
moe,8,96,72.727,5.19808
attention,8,132,100.0,0.941472
moe,8,132,100.0,5.19577
attention,16,8,6.061,2.58327
moe,16,8,6.061,8.98477
attention,16,16,12.121,1.63812
moe,16,16,12.121,6.99295
attention,16,24,18.182,1.43193
moe,16,24,18.182,6.92619
attention,16,32,24.242,1.22025
moe,16,32,24.242,6.90774
attention,16,48,36.364,1.15281
moe,16,48,36.364,6.91927
attention,16,64,48.485,1.02906
moe,16,64,48.485,6.90224
attention,16,96,72.727,1.06223
moe,16,96,72.727,6.91929
attention,16,132,100.0,0.997206
moe,16,132,100.0,6.91475
attention,32,8,6.061,3.35837
moe,32,8,6.061,11.5223
attention,32,16,12.121,2.03159
moe,32,16,12.121,8.92638
attention,32,24,18.182,1.7258
moe,32,24,18.182,8.88146
attention,32,32,24.242,1.37373
moe,32,32,24.242,8.85302
attention,32,48,36.364,1.26568
moe,32,48,36.364,8.85989
attention,32,64,48.485,1.14233
moe,32,64,48.485,8.86413
attention,32,96,72.727,1.12184
moe,32,96,72.727,8.83826
attention,32,132,100.0,1.07967
moe,32,132,100.0,8.85572
attention,64,8,6.061,5.10944
moe,64,8,6.061,14.1378
attention,64,16,12.121,2.91404
moe,64,16,12.121,10.8416
attention,64,24,18.182,2.23177
moe,64,24,18.182,10.7884
attention,64,32,24.242,1.8597
moe,64,32,24.242,10.79
attention,64,48,36.364,1.57041
moe,64,48,36.364,10.733
attention,64,64,48.485,1.36925
moe,64,64,48.485,10.737
attention,64,96,72.727,1.25485
moe,64,96,72.727,10.7041
attention,64,132,100.0,1.24071
moe,64,132,100.0,10.7253
attention,128,8,6.061,8.55752
moe,128,8,6.061,17.571
attention,128,16,12.121,4.65001
moe,128,16,12.121,13.0408
attention,128,24,18.182,3.42699
moe,128,24,18.182,12.8306
attention,128,32,24.242,2.75393
moe,128,32,24.242,12.7355
attention,128,48,36.364,2.09065
moe,128,48,36.364,12.7433
attention,128,64,48.485,1.81235
moe,128,64,48.485,12.8014
attention,128,96,72.727,1.65413
moe,128,96,72.727,12.9641
attention,128,132,100.0,1.54879
moe,128,132,100.0,13.0328
