kernel,batch,sms,sm_pct,moe_latency_s
symmetric,1,8,6.061,1.79367
symmetric,1,16,12.121,1.7931
symmetric,1,24,18.182,1.78235
symmetric,1,32,24.242,1.77732
symmetric,1,48,36.364,1.79791
symmetric,1,64,48.485,1.77602
symmetric,1,96,72.727,1.78993
symmetric,1,132,100.0,1.78642
symmetric,2,8,6.061,2.59397
symmetric,2,16,12.121,2.55843
symmetric,2,24,18.182,2.56052
symmetric,2,32,24.242,2.55469
symmetric,2,48,36.364,2.55869
symmetric,2,64,48.485,2.53599
symmetric,2,96,72.727,2.56013
symmetric,2,132,100.0,2.55552
symmetric,4,8,6.061,3.68489
symmetric,4,16,12.121,3.6553
symmetric,4,24,18.182,3.66355
symmetric,4,32,24.242,3.64246
symmetric,4,48,36.364,3.67024
symmetric,4,64,48.485,3.67141
symmetric,4,96,72.727,3.63802
symmetric,4,132,100.0,3.65103
symmetric,8,8,6.061,5.13311
symmetric,8,16,12.121,5.06603
symmetric,8,24,18.182,5.05886
symmetric,8,32,24.242,5.07
symmetric,8,48,36.364,5.05809
symmetric,8,64,48.485,5.06524
symmetric,8,96,72.727,5.04329
symmetric,8,132,100.0,5.05522
symmetric,16,8,6.061,6.88919
symmetric,16,16,12.121,6.76155
symmetric,16,24,18.182,6.75733
symmetric,16,32,24.242,6.75376
symmetric,16,48,36.364,6.74242
symmetric,16,64,48.485,6.74682
symmetric,16,96,72.727,6.72625
symmetric,16,132,100.0,6.73739
symmetric,32,8,6.061,9.23649
symmetric,32,16,12.121,8.70219
symmetric,32,24,18.182,8.65975
symmetric,32,32,24.242,8.66136
symmetric,32,48,36.364,8.65205
symmetric,32,64,48.485,8.6361
symmetric,32,96,72.727,8.64104
symmetric,32,132,100.0,8.64359
symmetric,64,8,6.061,13.3292
symmetric,64,16,12.121,10.5138
symmetric,64,24,18.182,10.4831
symmetric,64,32,24.242,10.4865
symmetric,64,48,36.364,10.4536
symmetric,64,64,48.485,10.4493
symmetric,64,96,72.727,10.4506
symmetric,64,132,100.0,10.4601
symmetric,128,8,6.061,22.2243
symmetric,128,16,12.121,15.2546
symmetric,128,24,18.182,12.6249
symmetric,128,32,24.242,12.1523
symmetric,128,48,36.364,12.1778
symmetric,128,64,48.485,12.1778
symmetric,128,96,72.727,12.1935
symmetric,128,132,100.0,12.2071
symmetric,256,8,6.061,36.651
symmetric,256,16,12.121,19.7034
symmetric,256,24,18.182,15.4919
symmetric,256,32,24.242,14.1159
symmetric,256,48,36.364,13.7825
symmetric,256,64,48.485,13.7837
symmetric,256,96,72.727,13.7877
symmetric,256,132,100.0,13.7947
asymmetric,1,8,6.061,7.9008
asymmetric,1,16,12.121,4.56707
asymmetric,1,24,18.182,3.54188
asymmetric,1,32,24.242,3.03027
asymmetric,1,48,36.364,2.54325
asymmetric,1,64,48.485,2.37136
asymmetric,1,96,72.727,2.12199
asymmetric,1,132,100.0,2.05934
asymmetric,2,8,6.061,10.8308
asymmetric,2,16,12.121,6.32691
asymmetric,2,24,18.182,4.86771
asymmetric,2,32,24.242,4.19692
asymmetric,2,48,36.364,3.52963
asymmetric,2,64,48.485,3.262
asymmetric,2,96,72.727,2.93389
asymmetric,2,132,100.0,2.87573
asymmetric,4,8,6.061,15.2495
asymmetric,4,16,12.121,8.83026
asymmetric,4,24,18.182,6.8018
asymmetric,4,32,24.242,5.8511
asymmetric,4,48,36.364,4.92023
asymmetric,4,64,48.485,4.49142
asymmetric,4,96,72.727,4.0905
asymmetric,4,132,100.0,4.00255
asymmetric,8,8,6.061,20.9739
asymmetric,8,16,12.121,12.0735
asymmetric,8,24,18.182,9.35075
asymmetric,8,32,24.242,7.97123
asymmetric,8,48,36.364,6.77003
asymmetric,8,64,48.485,6.1161
asymmetric,8,96,72.727,5.57683
asymmetric,8,132,100.0,5.47003
asymmetric,16,8,6.061,27.8442
asymmetric,16,16,12.121,15.8865
asymmetric,16,24,18.182,12.2281
asymmetric,16,32,24.242,10.4869
asymmetric,16,48,36.364,8.93985
asymmetric,16,64,48.485,8.04137
asymmetric,16,96,72.727,7.32794
asymmetric,16,132,100.0,7.21737
asymmetric,32,8,6.061,35.9964
asymmetric,32,16,12.121,20.2562
asymmetric,32,24,18.182,15.6134
asymmetric,32,32,24.242,13.3086
asymmetric,32,48,36.364,11.345
asymmetric,32,64,48.485,10.2762
asymmetric,32,96,72.727,9.27622
asymmetric,32,132,100.0,9.17773
asymmetric,64,8,6.061,44.4816
asymmetric,64,16,12.121,24.7542
asymmetric,64,24,18.182,18.9322
asymmetric,64,32,24.242,16.1046
asymmetric,64,48,36.364,13.7652
asymmetric,64,64,48.485,12.4739
asymmetric,64,96,72.727,11.1868
asymmetric,64,132,100.0,11.106
asymmetric,128,8,6.061,54.4165
asymmetric,128,16,12.121,29.8553
asymmetric,128,24,18.182,22.5518
asymmetric,128,32,24.242,19.1267
asymmetric,128,48,36.364,16.1499
asymmetric,128,64,48.485,14.72
asymmetric,128,96,72.727,13.1103
asymmetric,128,132,100.0,12.9916
asymmetric,256,8,6.061,67.2974
asymmetric,256,16,12.121,36.2476
asymmetric,256,24,18.182,26.8263
asymmetric,256,32,24.242,22.4102
asymmetric,256,48,36.364,18.5873
asymmetric,256,64,48.485,16.8826
asymmetric,256,96,72.727,14.9868
asymmetric,256,132,100.0,14.8127
